Time;Hip_x;Hip_vel;Omega;GP_AO;GP_Model;target_cos;target_sin;target_omega;Unnamed: 9
17:16:39.674614;0.02515232;-0.006158899;0.002481327;1.911780072;-0.011114305;1;0;0;
17:16:39.685473;0.02515232;-0.004927119;0.002465557;1.911791286;-0.009718237;1;0;0;
17:16:39.696905;0.02515232;-0.003941695;0.002450602;1.911801967;-0.006429319;1;0;0;
17:16:39.706630;0.02515232;-0.003153356;0.002435318;1.911812927;-0.00301024;1;0;0;
17:16:39.717498;0.02515232;-0.002522685;0.002419971;1.911823977;-0.000579413;1;0;0;
17:16:39.727149;0.026164992;0.017687093;0.002433104;1.911862051;0.004251841;1;0;0;
17:16:39.737401;0.026164992;0.014149675;0.002444699;1.911898271;0.005805134;1;0;0;
17:16:39.748316;0.026164992;0.01131974;0.002455348;1.911934376;0.008223547;1;0;0;
17:16:39.758281;0.026164992;0.009055792;0.002464507;1.911968359;0.009059817;1;0;0;
17:16:39.768029;0.026164992;0.007244633;0.002472541;1.912001251;0.0111783;1;0;0;
17:16:39.778914;0.026164992;0.005795707;0.002479618;1.912033622;0.012739761;1;0;0;
17:16:39.789367;0.026164992;0.004636565;0.002485774;1.912065626;0.012692034;1;0;0;
17:16:39.799248;0.02717933;0.023757783;0.002517967;1.912123137;0.015566831;1;0;0;
17:16:39.810103;0.02717933;0.019006226;0.002549326;1.912181455;0.013280162;1;0;0;
17:16:39.820578;0.02717933;0.015204981;0.002578262;1.912237677;0.01206388;1;0;0;
17:16:39.830626;0.02717933;0.012163985;0.002603604;1.912289203;0.008893906;1;0;0;
17:16:39.840053;0.02717933;0.009731188;0.002627002;1.912339072;0.010625978;1;0;0;
17:16:39.851254;0.02717933;0.00778495;0.002649695;1.912390013;0.011777715;1;0;0;
17:16:39.862080;0.02717933;0.00622796;0.002670448;1.912439342;0.012378963;1;0;0;
17:16:39.872871;0.02717933;0.004982368;0.002689212;1.91248678;0.010426372;1;0;0;
17:16:39.882874;0.02717933;0.003985895;0.002705278;1.912530107;0.005888697;1;0;0;
17:16:39.892869;0.02717933;0.003188716;0.002719776;1.912571948;0.002689197;1;0;0;
17:16:39.903997;0.02717933;0.002550972;0.002733811;1.912615679;0.000370117;1;0;0;
17:16:39.913789;0.02717933;0.002040778;0.002745796;1.912656357;0.002457346;1;0;0;
17:16:39.926174;0.02717933;0.001632622;0.002756799;1.912697418;0.003572372;1;0;0;
17:16:39.935887;0.02717933;0.001306098;0.002766201;1.912736471;0.004276277;1;0;0;
17:16:39.946796;0.02717933;0.001044878;0.002774167;1.912773751;0.003231524;1;0;0;
17:16:39.957452;0.02717933;0.000835903;0.002781073;1.912810832;0.004076087;1;0;0;
17:16:39.968223;0.026164992;-0.01839143;0.002758046;1.912817281;0.000382429;1;0;0;
17:16:39.978759;0.026164992;-0.014713144;0.002735501;1.912823928;-0.00353432;1;0;0;
17:16:39.990400;0.026164992;-0.011770515;0.002714456;1.91283043;-0.006197709;1;0;0;
17:16:39.998857;0.026164992;-0.009416412;0.002693809;1.912837088;-0.007202206;1;0;0;
17:16:40.009082;0.026164992;-0.00753313;0.002673574;1.912843881;-0.007906047;1;0;0;
17:16:40.020032;0.026164992;-0.006026504;0.002652162;1.91285136;-0.008926722;1;0;0;
17:16:40.030065;0.026164992;-0.004821203;0.00263103;1.912859031;-0.00679278;1;0;0;
17:16:40.040502;0.026164992;-0.003856962;0.002611843;1.912866246;-0.004670034;1;0;0;
17:16:40.051380;0.026164992;-0.00308557;0.002591891;1.912873999;-0.002126395;1;0;0;
17:16:40.060947;0.026164992;-0.002468456;0.002573294;1.912881455;-0.000272648;1;0;0;
17:16:40.071421;0.026164992;-0.001974765;0.002555008;1.912889001;0.001759008;1;0;0;
17:16:40.082712;0.026164992;-0.001579812;0.002535534;1.912897268;0.002945852;1;0;0;
17:16:40.092179;0.026164992;-0.001263849;0.002517724;1.912905037;0.003198069;1;0;0;
17:16:40.102192;0.02717933;0.019037376;0.002527422;1.912940261;0.006284499;1;0;0;
17:16:40.112332;0.02717933;0.0152299;0.002536046;1.912974789;0.009762243;1;0;0;
17:16:40.123446;0.02717933;0.01218392;0.002544155;1.913011207;0.013823455;1;0;0;
17:16:40.134376;0.02717933;0.009747136;0.00255088;1.913045781;0.0169324;1;0;0;
17:16:40.145325;0.02717933;0.007797709;0.002556226;1.9130778;0.020502716;1;0;0;
17:16:40.155329;0.02717933;0.006238167;0.002560589;1.913108993;0.021825116;1;0;0;
17:16:40.167218;0.02717933;0.004990534;0.002564369;1.913143096;0.018601203;1;0;0;
17:16:40.178669;0.02717933;0.003992427;0.002566836;1.913173511;0.014931106;1;0;0;
17:16:40.188347;0.02717933;0.003193942;0.002568302;1.913200856;0.010539439;1;0;0;
17:16:40.198810;0.02717933;0.002555153;0.002569022;1.91322747;0.007088083;1;0;0;
17:16:40.209615;0.02717933;0.002044123;0.00256901;1.913255235;0.004982709;1;0;0;
17:16:40.219173;0.02717933;0.001635298;0.002568306;1.913280408;0.005658054;1;0;0;
17:16:40.230605;0.02717933;0.001308238;0.002566845;1.913306737;0.006364661;1;0;0;
17:16:40.241413;0.02717933;0.001046591;0.002564726;1.913332024;0.007700767;1;0;0;
